[1] "Prediction Error: 1.73281"
BestTune:
  alpha lambda     RMSE  Rsquared       MAE   RMSESD RsquaredSD      MAESD
1     0      0 1.820552 0.1558604 0.4765435 0.333298   0.050503 0.01404212
ResultsTune:
        alpha     lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD
126 0.8888889  3.5714286 1.972633       NaN 0.5615647 0.3363438         NA
127 0.8888889  4.2857143 1.972633       NaN 0.5615647 0.3363438         NA
128 0.8888889  5.0000000 1.972633       NaN 0.5615647 0.3363438         NA
129 0.8888889  5.7142857 1.972633       NaN 0.5615647 0.3363438         NA
130 0.8888889  6.4285714 1.972633       NaN 0.5615647 0.3363438         NA
131 0.8888889  7.1428571 1.972633       NaN 0.5615647 0.3363438         NA
132 0.8888889  7.8571429 1.972633       NaN 0.5615647 0.3363438         NA
133 0.8888889  8.5714286 1.972633       NaN 0.5615647 0.3363438         NA
134 0.8888889  9.2857143 1.972633       NaN 0.5615647 0.3363438         NA
135 0.8888889 10.0000000 1.972633       NaN 0.5615647 0.3363438         NA
136 1.0000000  0.0000000 1.820565 0.1558632 0.4753007 0.3324381 0.05052725
137 1.0000000  0.7142857 1.960792 0.1448342 0.5561448 0.3402706 0.04726824
138 1.0000000  1.4285714 1.972633       NaN 0.5615647 0.3363438         NA
139 1.0000000  2.1428571 1.972633       NaN 0.5615647 0.3363438         NA
140 1.0000000  2.8571429 1.972633       NaN 0.5615647 0.3363438         NA
141 1.0000000  3.5714286 1.972633       NaN 0.5615647 0.3363438         NA
142 1.0000000  4.2857143 1.972633       NaN 0.5615647 0.3363438         NA
143 1.0000000  5.0000000 1.972633       NaN 0.5615647 0.3363438         NA
144 1.0000000  5.7142857 1.972633       NaN 0.5615647 0.3363438         NA
145 1.0000000  6.4285714 1.972633       NaN 0.5615647 0.3363438         NA
146 1.0000000  7.1428571 1.972633       NaN 0.5615647 0.3363438         NA
147 1.0000000  7.8571429 1.972633       NaN 0.5615647 0.3363438         NA
148 1.0000000  8.5714286 1.972633       NaN 0.5615647 0.3363438         NA
149 1.0000000  9.2857143 1.972633       NaN 0.5615647 0.3363438         NA
150 1.0000000 10.0000000 1.972633       NaN 0.5615647 0.3363438         NA
         MAESD
1   0.01404212
2   0.01419917
3   0.01434134
4   0.01442899
5   0.01448518
6   0.01451675
7   0.01453021
8   0.01452801
9   0.01452991
10  0.01452554
11  0.01452011
12  0.01451753
13  0.01451693
14  0.01451683
15  0.01451682
16  0.01406226
17  0.01423076
18  0.01440922
19  0.01456897
20  0.01465126
21  0.01470605
22  0.01477521
23  0.01482853
24  0.01484665
25  0.01484344
26  0.01445532
27  0.01445532
28  0.01445532
29  0.01445532
30  0.01445532
31  0.01406712
32  0.01426760
33  0.01463643
34  0.01487108
35  0.01509495
36  0.01445532
37  0.01445532
38  0.01445532
39  0.01445532
40  0.01445532
41  0.01445532
42  0.01445532
43  0.01445532
44  0.01445532
45  0.01445532
46  0.01406882
47  0.01438781
48  0.01491525
49  0.01533832
50  0.01445532
51  0.01445532
52  0.01445532
53  0.01445532
54  0.01445532
55  0.01445532
56  0.01445532
57  0.01445532
58  0.01445532
59  0.01445532
60  0.01445532
61  0.01407075
62  0.01453470
63  0.01538213
64  0.01445532
65  0.01445532
66  0.01445532
67  0.01445532
68  0.01445532
69  0.01445532
70  0.01445532
71  0.01445532
72  0.01445532
73  0.01445532
74  0.01445532
75  0.01445532
76  0.01407148
77  0.01472717
78  0.01445532
79  0.01445532
80  0.01445532
81  0.01445532
82  0.01445532
83  0.01445532
84  0.01445532
85  0.01445532
86  0.01445532
87  0.01445532
88  0.01445532
89  0.01445532
90  0.01445532
91  0.01407237
92  0.01494614
93  0.01445532
94  0.01445532
95  0.01445532
96  0.01445532
97  0.01445532
98  0.01445532
99  0.01445532
100 0.01445532
101 0.01445532
102 0.01445532
103 0.01445532
104 0.01445532
105 0.01445532
106 0.01407212
107 0.01523724
108 0.01445532
109 0.01445532
110 0.01445532
111 0.01445532
112 0.01445532
113 0.01445532
114 0.01445532
115 0.01445532
116 0.01445532
117 0.01445532
118 0.01445532
119 0.01445532
120 0.01445532
121 0.01407271
122 0.01563997
123 0.01445532
124 0.01445532
125 0.01445532
126 0.01445532
127 0.01445532
128 0.01445532
129 0.01445532
130 0.01445532
131 0.01445532
132 0.01445532
133 0.01445532
134 0.01445532
135 0.01445532
136 0.01407320
137 0.01598177
138 0.01445532
139 0.01445532
140 0.01445532
141 0.01445532
142 0.01445532
143 0.01445532
144 0.01445532
145 0.01445532
146 0.01445532
147 0.01445532
148 0.01445532
149 0.01445532
150 0.01445532
