feature,Gain,IncNodePurity,High,Low
color.coldorwarmXbrand_freq,0.001629218,38771.9682,0,0
color.coldorwarmXcategory_freq,0.002131702,38801.26918,1,0
brand.other.playerXsize4_freq,7.96E-05,38847.63701,0,0
brand.popularityXsize3_freq,0.000214941,39212.617,0,0
brand.NBA.playerXsize4_freq,1.62E-05,39954.55818,0,0
brand.Football.playerXsize4_freq,0.001327088,39985.26638,0,0
brand.NBA.teamXsize4_freq,0.001094128,39985.33549,0,0
brand.Football.playerXsize2_freq,0.001217567,40011.68475,0,0
color.coldorwarmXsize3_freq,0.002368024,40333.13686,1,0
brand.Football.teamXsize1_freq,0.000803896,40369.6834,0,0
size1_freq,0.006944492,40434.54686,1,0
brand.Football.teamXsize4_freq,0.000444269,40473.40666,0,0
color.B,0.001434119,40496.27207,1,0
size4Xrelmonthweek_freq,0.000212864,40875.97657,0,0
color.G,0.002110184,40902.28383,1,0
color.R,0.002458402,41068.95379,1,0
brand.Football.playerXsize1_freq,0.001107495,41337.3838,1,0
brand.competitionXsize2_freq,0.000775582,41956.4844,0,0
brandXsize3_freq,0.002642043,42004.45587,1,0
brand.NBA.playerXsize2_freq,3.92E-05,42119.50997,0,0
brand.other.playerXsize1_freq,1.75E-05,42192.29277,0,0
brand.NBA.teamXsize2_freq,0.000770824,42210.01714,0,0
brandXcategory_freq,0.002087317,42444.06525,1,0
brand.other.playerXsize2_freq,2.27E-05,42638.85183,0,0
brand.groupXcategory_freq,0.000526702,42659.50994,0,0
brand.NBA.teamXsize1_freq,0.001251329,42920.24125,1,0
brand.topXsize2_freq,0.000549057,42946.52981,0,0
brand.other.teamXsize1_freq,1.89E-05,43170.53861,0,0
color.richXsize4_freq,0.000952483,43298.58173,0,0
brand.NBA.playerXsize1_freq,3.54E-06,43410.11984,0,0
brand.competitionXsize1_freq,0.001077623,43863.99983,0,0
mainCategoryXsize1_freq,0.004646745,43942.34768,1,0
brand.topXsize1_freq,0.000856214,43955.84126,0,0
brand.other.teamXsize2_freq,2.14E-05,44045.82327,0,0
color_freq,0.000753659,44065.86436,0,0
colorXbrand.other.player_freq,3.01E-05,44378.183,0,0
brand.nationXsize2_freq,0.002027252,44423.30906,1,0
brand.groupXsize3_freq,0.000178082,44507.59756,0,0
brand.Football.teamXsize2_freq,0.000313109,44784.40955,0,0
brand.nationXsize4_freq,0.00236339,44869.17385,1,0
mainCategoryXsize2_freq,0.002691855,44962.37707,1,0
stock.cut.0.2.5.,NA,45607.84843,0,1
brand.popularityXsize4_freq,0.000824351,45958.69812,0,0
brand.nationXsize1_freq,0.002577801,46441.5037,1,0
size4Xrelweekday_freq,0.000761493,46466.01181,0,0
categoryXsize4_freq,0.001942587,46475.68145,1,0
colorXbrand.Football.player_freq,0.001604959,46712.80233,1,0
size2Xrelmonthweek_freq,0.000279411,46755.1764,0,0
colorXsize.child.cloth_freq,0.002162186,46839.84591,1,0
colorXbrand.competition_freq,0.000986641,47148.85833,0,0
size1Xrelmonthweek_freq,0.000399058,47455.18485,0,0
color.richXsize2_freq,0.001266725,47550.45293,1,0
colorXbrand.Football.team_freq,0.000321302,47614.53013,0,0
brand.groupXsize4_freq,0.000436251,48119.19499,0,0
brandXsize4_freq,0.003145121,48224.84537,1,0
brand.popularityXsize2_freq,0.000745482,48299.47197,0,0
colorXbrand.other.team_freq,6.74E-05,48504.26654,0,0
categoryXsize2_freq,0.001373982,48974.57618,1,0
categoryXsize1_freq,0.001814524,49468.80819,1,0
stock.units.cutCut7,0.004445344,49543.17919,1,0
colorXbrand.NBA.team_freq,0.001062671,49760.20315,1,0
brand.popularityXsize1_freq,0.001112921,49983.85521,1,0
colorXbrand.NBA.player_freq,0.000452334,50092.23787,1,0
color.richXsize1_freq,0.002476979,50159.69193,1,0
colorXbrand.top_freq,0.000744346,50601.85315,1,0
brand.groupXsize1_freq,0.000836562,50735.38217,1,0
