,feature,IncNodePurity1,IncNodePurity2,IncNodePurity3,Gain,Gain1,Gain2,Gain3,High1(7),High2(6),Low1(5-50),Low2(6-100),RF_High,GB_High,RF_Low,GB_Low
641,trend.ConverseXbrand.top_freq,681.9974294,481.6662195,513.8632516,6.67E-05,6.10E-05,9.19E-05,8.00E-05,0,0,0,0,0,0,0,0
642,trend.UhlsportXbrand_freq,578.5693145,478.45096,511.6358463,0.000351482,0.000340126,0.000392918,0.000447851,0,0,0,0,0,0,0,0
643,trend.adidasXsize.shape_freq,627.8578548,478.0423084,605.6905665,0.000488955,0.000394357,0.000517497,0.000447715,0,0,0,0,0,0,0,0
644,trend.Under.ArmourXbrand.top_freq,609.4921766,474.0195653,593.0548926,6.28E-05,7.22E-05,7.25E-05,0.000217088,0,0,0,0,0,0,0,0
645,brand.topXsize2_freq,1110.547048,472.2414229,544.8600874,5.82E-05,6.35E-05,5.59E-05,6.92E-05,0,0,0,0,0,0,0,0
646,color.coldorwarmXbrand_freq,538.533621,470.3203299,563.0375513,0.000760158,0.00052925,0.000668395,0.000628946,0,0,0,0,0,0,0,0
647,trend.adidasXbrand.competition_freq,588.06751,469.6957052,547.8887422,7.65E-05,0.000102062,0.000104515,8.54E-05,0,0,0,0,0,0,0,0
648,brand.Football.teamXsize2_freq,423.4265558,469.1973611,457.4565995,5.09E-05,3.06E-05,5.10E-05,4.76E-05,0,0,0,0,0,0,0,0
649,stock.units.cutCut6,296.1918629,469.0438323,388.5844063,0.00057871,0.000596978,0.00070295,0.000428153,0,0,0,0,0,0,0,0
650,size3Xrelweekday_freq,1168.386377,468.4479988,463.3729058,0.000155519,0.000162374,0.000190611,0.000152811,0,0,0,0,0,0,0,0
651,trend.UhlsportXcolor.rich_freq,462.9054236,466.4663545,356.3147776,0.000497119,0.000489306,0.000174983,0.000720338,0,0,0,0,0,0,0,0
652,brand.other.teamXcategory_freq,429.8481899,466.4199071,400.2048361,4.41E-07,3.05E-07,NA,1.09E-06,0,0,0,0,0,0,0,1
653,trend.ConverseXbrand.competition_freq,823.5805614,463.4021314,622.5979535,0.000119625,0.000226056,0.000262388,0.000145394,0,0,0,0,0,0,0,0
654,trend.UhlsportXsize3_freq,574.9889464,459.3803018,574.4369867,0.00023604,0.000297463,0.000347955,0.000226719,0,0,0,0,0,0,0,0
655,brandXsize.body_freq,598.7927897,458.6359705,404.1148836,0.000408113,0.000410726,0.000365657,0.000377884,0,0,0,0,0,0,0,0
656,brand.nationXcategory_freq,469.2444004,455.81757,454.233255,0.000506554,0.0004081,0.000550837,0.000571828,0,0,0,0,0,0,0,0
657,color.richXsize3_freq,797.7836471,455.7816458,421.5500213,0.000226775,0.000235941,0.000222346,0.000186453,0,0,0,0,0,0,0,0
