[1] "Prediction Error: 1.82951"
BestTune:
  alpha lambda    RMSE  Rsquared       MAE    RMSESD RsquaredSD      MAESD
1     0      0 1.76357 0.2080982 0.5162596 0.3456831 0.06564072 0.01239702
ResultsTune:
        alpha     lambda     RMSE  Rsquared       MAE    RMSESD RsquaredSD
110 0.7777778  2.8571429 1.969302       NaN 0.5615620 0.3554985         NA
111 0.7777778  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
112 0.7777778  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
113 0.7777778  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
114 0.7777778  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
115 0.7777778  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
116 0.7777778  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
117 0.7777778  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
118 0.7777778  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
119 0.7777778  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
120 0.7777778 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
121 0.8888889  0.0000000 1.764030 0.2081415 0.5220960 0.3439103 0.06580802
122 0.8888889  0.7142857 1.931139 0.1502077 0.5445388 0.3602978 0.05004242
123 0.8888889  1.4285714 1.969302       NaN 0.5615620 0.3554985         NA
124 0.8888889  2.1428571 1.969302       NaN 0.5615620 0.3554985         NA
125 0.8888889  2.8571429 1.969302       NaN 0.5615620 0.3554985         NA
126 0.8888889  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
127 0.8888889  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
128 0.8888889  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
129 0.8888889  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
130 0.8888889  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
131 0.8888889  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
132 0.8888889  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
133 0.8888889  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
134 0.8888889  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
135 0.8888889 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
136 1.0000000  0.0000000 1.764031 0.2081412 0.5221006 0.3439080 0.06580855
137 1.0000000  0.7142857 1.957335 0.1472213 0.5561530 0.3595326 0.04874985
138 1.0000000  1.4285714 1.969302       NaN 0.5615620 0.3554985         NA
139 1.0000000  2.1428571 1.969302       NaN 0.5615620 0.3554985         NA
140 1.0000000  2.8571429 1.969302       NaN 0.5615620 0.3554985         NA
141 1.0000000  3.5714286 1.969302       NaN 0.5615620 0.3554985         NA
142 1.0000000  4.2857143 1.969302       NaN 0.5615620 0.3554985         NA
143 1.0000000  5.0000000 1.969302       NaN 0.5615620 0.3554985         NA
144 1.0000000  5.7142857 1.969302       NaN 0.5615620 0.3554985         NA
145 1.0000000  6.4285714 1.969302       NaN 0.5615620 0.3554985         NA
146 1.0000000  7.1428571 1.969302       NaN 0.5615620 0.3554985         NA
147 1.0000000  7.8571429 1.969302       NaN 0.5615620 0.3554985         NA
148 1.0000000  8.5714286 1.969302       NaN 0.5615620 0.3554985         NA
149 1.0000000  9.2857143 1.969302       NaN 0.5615620 0.3554985         NA
150 1.0000000 10.0000000 1.969302       NaN 0.5615620 0.3554985         NA
         MAESD
1   0.01239702
2   0.01269771
3   0.01324824
4   0.01371867
5   0.01397417
6   0.01407514
7   0.01411358
8   0.01412294
9   0.01413973
10  0.01414298
11  0.01413781
12  0.01413115
13  0.01412487
14  0.01412100
15  0.01411129
16  0.01237071
17  0.01369232
18  0.01386525
19  0.01403610
20  0.01408210
21  0.01416916
22  0.01424648
23  0.01419182
24  0.01408356
25  0.01404635
26  0.01365337
27  0.01365337
28  0.01365337
29  0.01365337
30  0.01365337
31  0.01237867
32  0.01378322
33  0.01403042
34  0.01438639
35  0.01435397
36  0.01365337
37  0.01365337
38  0.01365337
39  0.01365337
40  0.01365337
41  0.01365337
42  0.01365337
43  0.01365337
44  0.01365337
45  0.01365337
46  0.01237701
47  0.01380815
48  0.01435699
49  0.01454640
50  0.01365337
51  0.01365337
52  0.01365337
53  0.01365337
54  0.01365337
55  0.01365337
56  0.01365337
57  0.01365337
58  0.01365337
59  0.01365337
60  0.01365337
61  0.01238289
62  0.01391942
63  0.01466712
64  0.01365337
65  0.01365337
66  0.01365337
67  0.01365337
68  0.01365337
69  0.01365337
70  0.01365337
71  0.01365337
72  0.01365337
73  0.01365337
74  0.01365337
75  0.01365337
76  0.01238126
77  0.01408885
78  0.01365337
79  0.01365337
80  0.01365337
81  0.01365337
82  0.01365337
83  0.01365337
84  0.01365337
85  0.01365337
86  0.01365337
87  0.01365337
88  0.01365337
89  0.01365337
90  0.01365337
91  0.01237680
92  0.01432330
93  0.01365337
94  0.01365337
95  0.01365337
96  0.01365337
97  0.01365337
98  0.01365337
99  0.01365337
100 0.01365337
101 0.01365337
102 0.01365337
103 0.01365337
104 0.01365337
105 0.01365337
106 0.01237519
107 0.01463379
108 0.01365337
109 0.01365337
110 0.01365337
111 0.01365337
112 0.01365337
113 0.01365337
114 0.01365337
115 0.01365337
116 0.01365337
117 0.01365337
118 0.01365337
119 0.01365337
120 0.01365337
121 0.01237709
122 0.01495076
123 0.01365337
124 0.01365337
125 0.01365337
126 0.01365337
127 0.01365337
128 0.01365337
129 0.01365337
130 0.01365337
131 0.01365337
132 0.01365337
133 0.01365337
134 0.01365337
135 0.01365337
136 0.01238041
137 0.01519457
138 0.01365337
139 0.01365337
140 0.01365337
141 0.01365337
142 0.01365337
143 0.01365337
144 0.01365337
145 0.01365337
146 0.01365337
147 0.01365337
148 0.01365337
149 0.01365337
150 0.01365337
