date|trend.11teamsporting43|trend.amazon|trend.bonton|trend.coupon|trend.adidas|trend.asics|trend.Converse|trend.Jako|trend.Jordan|trend.KangaROOS|trend.Nike|trend.PUMA|trend.Reebok|trend.Uhlsport|trend.Under.Armour|trend.clearance
2018/1/24|13|38|14|45|39|51|52|21|39|7|35|50|18|0|26|28
2018/1/25|14|39|15|41|40|70|39|21|54|9|38|53|22|0|34|56
2018/1/26|48|36|17|39|39|52|51|33|55|3|40|61|16|0|37|0
2018/1/27|16|40|10|47|49|95|66|21|51|5|49|83|29|7|37|0
2018/1/28|43|40|19|54|52|100|79|30|56|5|45|69|28|4|46|90
2018/1/29|26|37|12|43|43|62|49|35|50|3|34|70|15|4|32|0
2018/1/30|18|38|11|48|51|48|51|35|61|7|38|64|21|7|44|27
2018/1/31|18|41|28|47|48|54|43|37|40|1|36|69|19|5|40|28
2018/2/1|18|38|20|47|43|57|28|19|50|4|41|69|20|2|40|57
2018/2/2|42|39|19|43|43|63|43|25|29|11|40|54|18|4|40|29
2018/2/3|26|40|20|42|47|68|92|17|60|3|47|81|27|0|36|32
2018/2/4|19|42|22|52|48|57|51|27|63|2|44|75|23|0|52|30
2018/2/5|9|38|29|39|35|66|28|21|60|4|31|40|13|2|47|55
2018/2/6|36|38|19|33|35|70|35|38|50|3|31|48|18|2|35|42
2018/2/7|28|40|23|52|39|43|43|35|50|6|33|59|17|2|34|57
2018/2/8|43|37|23|47|35|53|31|24|55|5|34|50|16|2|45|30
2018/2/9|15|36|17|47|38|52|54|24|54|5|37|65|23|4|28|30
2018/2/10|16|36|22|44|47|80|65|19|75|5|46|83|28|7|22|100
2018/2/11|50|38|17|47|46|82|57|35|67|15|42|66|22|2|43|31
2018/2/12|9|33|17|39|34|61|34|24|60|3|32|56|15|4|40|56
2018/2/13|14|35|13|28|39|55|53|20|52|6|32|50|24|2|40|58
2018/2/14|27|32|11|31|37|71|53|22|60|5|29|51|13|8|36|42
2018/2/15|32|33|11|43|37|53|45|18|41|3|32|45|14|6|30|0
2018/2/16|48|31|9|27|37|57|43|13|49|10|38|52|15|0|38|0
2018/2/17|21|36|17|40|53|71|71|28|66|9|46|63|24|0|39|0
2018/2/18|25|36|16|45|52|80|59|21|72|11|47|72|25|0|50|61
2018/2/19|9|34|23|39|38|50|65|25|58|3|37|49|21|0|25|0
2018/2/20|4|33|15|39|38|52|51|20|54|7|35|55|15|2|22|28
2018/2/21|9|33|13|34|40|56|52|23|62|9|39|66|13|4|40|28
2018/2/22|9|34|11|43|39|51|44|29|48|3|39|62|28|0|28|0
2018/2/23|10|32|18|46|44|57|65|24|59|3|38|66|25|2|18|60
2018/2/24|16|36|18|47|48|60|62|32|60|4|45|78|17|7|46|49
2018/2/25|34|37|18|41|50|53|65|19|100|5|44|73|26|2|46|0
2018/2/26|40|36|13|52|34|47|50|19|61|4|35|51|20|0|35|68
2018/2/27|22|37|13|44|40|67|36|22|75|7|35|61|15|4|47|0
2018/2/28|14|37|13|48|35|52|44|26|86|5|39|51|15|0|41|42
